OBJECTID;MIVA_toilet;Entree;Gebruik;Status;Ma;Ma_van;Ma_tot;Di;Di_van;Di_tot;Wo;Wo_van;Wo_tot;Do;Do_van;Do_tot;Vr;Vr_van;Vr_tot;Za;Za_van;Za_tot;Zo;Zo_van;Zo_tot;Kosten;Beoordeling;Eigenaar;Opmerking;Beugels;Grote_prullenbak;Wastafel;Baby_verschoontafel;GlobalID;X;Y;LONG;LAT
61;Nee;;;In onderhoud;Nee;;;Nee;;;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;21:00;Ja;10:00;17:00;Ja;12:00;17:00;€ 0,00;;Nationaal Videogamemuseum;;;;;;86762297-b1cd-4a38-b08e-d30e1ca9286f;93697.05620333357;453014.38988706324;4.493257984478958;52.06203081690496
62;Ja;Drempelvrij;Ruim;In onderhoud;Ja;09:00;17:00;Ja;09:00;17:00;Ja;09:00;17:00;Ja;09:00;17:00;Ja;09:00;17:00;Nee;;;Nee;;;€ 0,00;Goed;Gemeente Zoetermeer;;Ja;Ja;Ja;Ja;fbc429bd-aff8-4b68-9440-81fd01ae5ad1;93659.58544366225;452877.04975492734;4.492736295597491;52.06079236831121
63;Ja;;;In onderhoud;Ja;7:00;00:00;Ja;7:00;00:00;Ja;7:00;00:00;Ja;7:00;00:00;Ja;7:00;2:00;Ja;7:00;2:00;Ja;9:00;00:00;€ 0,00;;Fietsenstalling Cadenza ( Ustal);;Ja;Ja;Ja;Ja;8f802995-8169-41fb-a903-231be55b36ad;93844.21630787183;453006.52516212803;4.495405092568449;52.06197639779316
64;;Drempelvrij;Ruim;In onderhoud;Ja;9:00;16:00;Ja;09:00;16:00;Ja;9:00;16:00;Ja;9:00;16:00;Ja;9:00;16:00;Ja;09.00;16.00;Ja;09.00;16.00;€ 0,00;;Palet/Welzijn.nl;;Ja;Ja;Ja;Ja;73428547-515d-49ac-9c1c-e8dd3151172c;93546.4713758751;452476.21079494356;4.491159162200949;52.05717742079402
65;;Drempelvrij;Ruim;In onderhoud;Ja;08:00;23:00;Ja;08:00;23:00;Ja;08:00;23:00;Ja;08:00;23:00;Ja;08:00;23:00;Ja;08:00;18.00;Ja;13.45;23.00;€ 0,00;;CKC Centrum voor Kunst e Cultuur;;Ja;Ja;Ja;Ja;3bb9b17f-f455-4e8e-8f82-848a32747312;93987.09920841959;452491.7125415658;4.4975803689974665;52.05736542970381
66;;;Gemiddeld;In onderhoud;Ja;08:30;17:00;Ja;08:30;17:00;Ja;08:30;17:00;Ja;08:30;17:00;Ja;08:30;17:00;Nee;;;Nee;;;€ 0,00;Matig;Reakt;;Ja;Ja;Ja;Ja;5bed66fb-cfa1-40a2-b7e3-a34ba65d39c1;92648.28117286703;453562.253213516;4.477866133510018;52.06683752340765
67;;;;In onderhoud;Ja;08:00;20:00;Ja;08:00;20:00;Ja;08:00;20:00;Ja;08:00;20:00;Ja;08:00;21:00;Ja;08:00;20:00;Ja;10:00;19:00;€ 0,00;;Jumbo;;Ja;Ja;;;a57024a9-7431-4e69-b33c-981c85627893;92688.4970336773;453571.65707014437;4.478450854652475;52.066926562013215
68;;;;In onderhoud;Ja;8:00;20:00;Ja;08:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;21:00;Ja;8:00;20:00;Ja;10:00;19:00;€ 0,00;;Albert Heijn;;Ja;Ja;Ja;Ja;8dfb2958-7916-4397-b98b-14d978c99ce4;93725.20719377065;453904.4322536433;4.493508769629373;52.07003290884005
69;;;;In onderhoud;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;20:00;Ja;10:00;18:00;€ 0,00;;Jumbo;;Ja;Ja;Ja;Ja;4c5a8810-0d29-4582-a467-8dc475d0124a;94864.74485070352;453824.4933376319;4.510141145606933;52.06943935617331
70;;;;In onderhoud;Ja;8:00;20:00;Ja;08:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;21:00;Ja;8:00;20:00;Ja;10:00;19:00;€ 0,00;;Albert Heijn;;;;;;593cf6a9-58a3-440b-93bd-d237ed73b045;95538.15707600571;454492.21521894867;4.519845374237651;52.07551301199676
71;;;;In onderhoud;Ja;8:00;20:00;Ja;08:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;21:00;Ja;8:00;20:00;Ja;10:00;19:00;€ 0,00;;Albert Heijn;;Ja;Ja;;;6bd3ee89-f9a1-4a69-b433-a384608fccb2;95210.63745745161;453159.8375916617;4.515301716277128;52.06350338901526
72;;;;In onderhoud;Ja;8:00;21:00;Ja;08:00;21:00;Ja;08:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;10:00;20:00;€ 0,00;;;;;;;;2c86d1c0-7109-41a8-b79c-cc21afad6a26;96981.66458410784;452683.8338524016;4.541206488469032;52.05941371000032
73;;;;In onderhoud;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;€ 0,00;;Stadsboerderij De Weidemolen;;;;;;90567e61-7f1b-4702-aba5-4b5401ad9bcc;97772.73094797501;452749.5462452362;4.552729256214958;52.06008655441788
74;;;;;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,00;;;;Ja;Ja;Ja;Ja;77e754e6-6b64-4442-83e4-152aa5022632;99811.07606215129;443817.56972763874;4.5838893776032;51.980018079421804
75;Nee;Drempel;Krap;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,50;;Texaco;;Ja;Ja;Ja;Ja;c15a4668-bbb8-4f6a-a65e-f2bf87f9d9a6;99889.2344816147;441483.14370974136;4.585402131731641;51.95904510883776
76;Ja;;Gemiddeld;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,00;;Praxis;;Ja;Ja;Ja;Nee;d6b23364-2858-44d8-bcbe-7c67bd70d46e;99667.95059809228;441380.3958035578;4.582199575124298;51.958099671703835
77;Nee;;Gemiddeld;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,50;;;;Ja;Ja;Ja;Ja;fb72208d-0d95-4a02-87f2-0c9f5db00263;98717.13825247125;440745.82533391786;4.568472026399801;51.952301000869035
78;Ja;;Gemiddeld;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,00;Goed;;;Ja;Ja;Ja;Nee;8b56c36e-52d7-4b62-b369-e565003cbc2f;100120.06644664163;438395.9656910922;4.589253762964507;51.93132167994788
79;Ja;Drempelvrij;Gemiddeld;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,50;Goed;Wereldhave;;Ja;Ja;Ja;Ja;9d71ad9f-0972-478e-9eeb-3b0483113851;100163.33072277199;438236.4984970073;4.589908221048328;51.929892718319884
80;Nee;Drempel;Krap;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,50;Matig;Shell;;Ja;Ja;Ja;Ja;b4d1be4e-dafb-4dfb-bf4b-1cbdf6d16706;98940.69215793314;437990.9410468214;4.572173460878443;51.927563935600475
81;Nee;Drempel;Krap;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,50;Matig;;;Nee;Ja;Ja;Nee;647c0fbd-73f8-41ab-8b43-9b7a615e5f4d;98967.28531433782;437927.33554014534;4.572570427457814;51.92699495502398
82;Nee;Drempelvrij;Gemiddeld;In onderhoud;Ja;8:00;23:00;Ja;8:00;23:00;Ja;8:00;23:00;Ja;8:00;23:00;Ja;8:00;23:00;Ja;8:00;23:00;Ja;8:00;23:00;€ 0,00;;Mc Donalds;;Nee;Ja;Ja;Nee;2dee9f82-d74b-473e-bf31-3366b16d60d7;98535.91016984312;437764.34280412184;4.56632624508268;51.925486458176984
83;Ja;;Ruim;In onderhoud;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;€ 0,00;Goed;Albert Heijn;;Ja;Ja;Ja;Ja;56eb6640-88de-4cfb-9f10-c2c285186410;100043.30459620547;436549.6790240753;4.588432992125234;51.91472042979613
84;Nee;Drempelvrij;Gemiddeld;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,00;Goed;Gemeente Rotterdam;Bij receptie vragen deur op afstand te openen;Ja;Ja;Ja;Ja;c944980d-1621-4b7f-b3c0-7ffd07f0fdc6;93131.4547477643;435722.33132437494;4.488131835522442;51.90655975950386
85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;b05d946d-b777-4f2c-baed-43678d999d55;67494.01963286771;444340.26821761596;4.113449341958287;51.980563239968596
86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6c7f4bda-a2ca-4193-adde-633f2f442ff6;89969.00763943457;437953.8748977859;4.441759120613845;51.92625474831244
87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8f317115-f854-4858-8f39-74bb2bd45fd9;90954.0087836587;438347.32930062193;4.456004332246827;51.92990509181297
88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c950b163-4d75-410f-b55e-1ff4f5b4b825;91989.87383949626;437750.3926877715;4.471172896601317;51.924658555818674
89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9f0eef4b-c370-49fe-a183-bef6ba88ca57;93061.07756398694;437439.2112200667;4.486800115823539;51.92198212705016
90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9db5cca7-d11f-489b-9db6-dfdaf742cf04;93259.75623594955;438748.56483810605;4.489452816987979;51.93377178634421
91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58a15f9f-2caa-4d59-8cdf-42870a7bf16a;94484.06882316468;439327.1827642777;4.507151368502057;51.939106551497076
92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d9feaad3-7ce2-4923-bcb7-33dc533d0010;94599.92168987678;439511.23949264473;4.508803608865952;51.94077332789536
93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1dc1c709-a192-4e53-9755-4e63cf17e7a9;94382.79166232236;439144.04894807225;4.505711022682022;51.93744963531204
94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ccf57ab-e7e1-4db5-98f9-4f9858e0d172;91956.876904629;435839.2682519715;4.471043486479545;51.907478974844864
95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3282f5aa-aeb6-4ad0-83e9-521e3e00627e;93080.30444263545;433409.02691362385;4.487804603164415;51.88576350204307
96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38d736d7-9cc8-4a8e-81d5-ef3b3f77b7e4;95934.30240844144;432704.0099022167;4.5293761417329845;51.87973693397737
97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d2c29d24-208e-4fd7-bd7d-f16022285503;96286.75569171109;437307.3695774844;4.533709257029062;51.92114675808857
98;Ja;Drempelvrij;Ruim;In onderhoud;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;Ja;Ja;Ja;6d06a756-d4d6-4a21-be94-6b43df9a3b24;91859.78526167654;437566.1498309175;4.469315747601563;51.922987967932535
99;Ja;Drempelvrij;Ruim;In onderhoud;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;Ja;Ja;Ja;996f255a-1cde-4b8d-9548-0d9a272752ac;91745.68347097296;437530.6294473768;4.467663750154321;51.922655778015255
100;Ja;Drempelvrij;;In onderhoud;Ja;9:00;2:00;Ja;9:00;2:00;Ja;9:00;00:00;Ja;9:00;00:00;Ja;9:00;00:00;Ja;00:00;00:00;Ja;00:00;00:00;;Goed;Hommerson Casino;Toegang vanaf 20 jaar;Ja;Ja;Ja;Nee;46bb807e-75db-4552-ac6c-046184609eb8;93689.01825292672;453036.42868825304;4.493136830060439;52.06222799445371
101;Ja;Drempelvrij;Gemiddeld;In onderhoud;Ja;9:00;2:00;Ja;9:00;2:00;Ja;9:00;2:00;Ja;9:00;2:00;Ja;9:00;00:00;Ja;00:00;9:00;Ja;9:00;2:00;;;Sir Winston Casino;Toegang vanaf 20 jaar;Ja;Ja;Ja;Nee;b3da4968-a0ab-48c1-b8ba-038cd99c9566;93814.93130365474;453058.54969247367;4.49496877883362;52.06244071923415
102;Nee;;;In onderhoud;Ja;10:00;21:00;Ja;10:00;21:00;Ja;10:00;21:00;Ja;10:00;21:00;Ja;10:00;21:00;Ja;10:00;19:00;Ja;12:00;18:00;0,50;;Mediamarkt;;;;;;3780c8ca-e6f2-4162-9b69-98650b4defb5;93146.78061615361;452908.1778973366;4.48525381824281;52.06101511351864
103;Nee;;;;Ja;08:00;22:00;Ja;08:00;22:00;Ja;08:00;22:00;Ja;08:00;22:00;Ja;08:00;00:00;Ja;08:00;22:00;Ja;08:00;22:00;;Voldoende;Mac Donald;;;;;;c59a4fa4-13d7-4d8d-a129-f25dfe3e2b14;93300.28628641041;452919.06422186684;4.4874900201447625;52.06113006601309
104;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;Goed;;;;;;;42815f5c-a52e-4709-891e-573dc7ff4cbe;94862.33118980887;455731.35067739774;4.5097700077846;52.086576409418264
107;Ja;Drempelvrij;Gemiddeld;In onderhoud;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;0;Voldoende;La Place;;Ja;Ja;Ja;Ja;a948d3d2-a55a-443b-8658-5c275141bd08;143035.9306879841;432219.04295189574;5.213452514519192;51.87838114551814
109;Ja;Drempelvrij;Gemiddeld;In onderhoud;Ja;16:00;23:00;Ja;16:00;23:00;Ja;16:00;23:00;Ja;16:00;23:00;Ja;16:00;23:00;Ja;16:00;23:00;Ja;16:00;23:00;0,00 euro;Voldoende;Woodstone Pizza and Wine;;Ja;Ja;Ja;Ja;fca83e1d-8c39-42f6-848f-65d0918c0cd0;93772.84752556898;452984.9662033781;4.494368349715517;52.06177476113542
110;Ja;Drempelvrij;Ruim;In onderhoud;Ja;08:00;21:00;Ja;08:00;21:00;Ja;08:00;21:00;Ja;08:00;21:00;Ja;08:00;22:00;Ja;08:00;21:00;Ja;10:00;20:00;0,00;Voldoende;Hoogvliet Oostwaarts;;Ja;Ja;Ja;Nee;bf059e25-a53e-4587-add5-a58791d39dec;93785.16818806875;453014.5398939453;4.494542693495138;52.062041907028565
111;Nee;Drempelvrij;Krap;In onderhoud;Ja;10:00;18:00;Ja;09:00;18:00;Ja;09:00;18:00;Ja;09:00;18:00;Ja;09:00;18:00;Ja;09:00;18:00;Ja;10:00;18:00;0,00;;Barista Cafe;;Nee;Ja;Ja;Ja;5baa0a38-f440-41cf-93e8-1e11cdd852d2;93719.93736380045;453012.19789861806;4.493592001339953;52.062013648252524
112;Ja;Drempelvrij;Ruim;In onderhoud;Ja;12:00;22:00;Ja;12:00;22:00;Ja;12:00;22:00;Ja;12:00;22:00;Ja;12:00;23:00;Ja;12:00;23:00;Ja;12:00;22:00;0,00 euro;Goed;Happy Italy;;Ja;Ja;Ja;Ja;7428b223-f4cd-4b6a-9392-753112e3da39;93710.40874890772;452884.1327167079;4.493476044287799;52.06086164839417
113;Nee;Drempelvrij;Krap;In onderhoud;Ja;11:00;24:00;Ja;11:00;24:00;Ja;11:00;24:00;Ja;11:00;01:00;Ja;11:00;03:30;Ja;11:00;03:30;Ja;12:00;24:00;0,00 euro;Voldoende;The old Pal;;Nee;Nee;Ja;Nee;7231cc24-b557-41f1-b693-315b3e794427;93704.7585837346;452952.66617707215;4.493381365472553;52.06147694619549
114;Nee;Drempelvrij;Krap;In onderhoud;Ja;16:00;22:00;Ja;16:00;22:00;Ja;16:00;22:00;Ja;16:00;22:00;Ja;16:00;22:00;Ja;16:00;22:00;Ja;16:00;22:00;0,00 euro;Voldoende;Restaurant Delphi;Restaurant heeft geen sticker bij voordeur.;Nee;Ja;Ja;Nee;f0b92f19-c338-4d6f-af72-ecf51fded5e4;93762.60475256751;453010.9135560256;4.49421435240521;52.062006823063776
115;Ja;Drempel;Ruim;In onderhoud;Ja;17:00;23:00;Ja;17:00;23:00;Ja;10:00;23:00;Ja;10:00;23:00;Ja;10:00;23:00;Ja;10:00;23:00;Ja;12:00;23:00;0,00 euro;Goed;Koeien en Kaas Zoetermeer;Restaurant heeft een rolstoel plank voor twee lage treden in het restaurant.;;Ja;;;adf7c819-3997-42b5-9ccf-e879f9eac047;93768.0129693608;452979.759289352;4.494298792102875;52.06172743131691
116;Ja;;;In onderhoud;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;382ade46-0d93-474b-8aee-beac9e183b2e;202783.564203909;502489.6824016949;6.091025907436268;52.508002405146726
117;Ja;;;In onderhoud;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;461887b1-8578-4016-9aae-807ec466ae31;202229.5255958318;501954.6938317178;6.0827901744109045;52.50324275722075
118;Ja;;;In onderhoud;;;;;;;;;;;;;;;;;;;;;;1,00;;;;Ja;;;;3349cbe3-60eb-4816-a14d-78c7c8515b0b;202824.0455348717;502134.0816904935;6.091571152176295;52.50480317751869
119;Ja;;;In onderhoud;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c48b353f-9999-491d-88cc-f9505d948d27;202445.4260276327;502409.5134913571;6.086034335645891;52.50731140586425
120;Ja;;;In onderhoud;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4e8b43e3-039d-428e-b92c-99633947ad04;202971.6833301473;503031.8147359596;6.093874527938062;52.51285791433871
121;Nee;;Ruim;In onderhoud;Ja;10:00;17:00;;;;;;;;;;;;;;;;;;;;;;;;;;;c949590c-eefb-495c-b033-f558c667ee5a;202876.0007172408;502007.7868193289;6.092318182108283;52.50366365124337
122;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fcb33b50-d0c8-489d-9597-45dfa07d86e9;136969.71816793695;430837.43757653446;5.125428116308456;51.865799765642585
123;Ja;Drempelvrij;Ruim;In onderhoud;Ja;08:00;18:00;Ja;08:00;18:00;Ja;08:00;18:00;Ja;08:00;18:00;Ja;08:00;18:00;Ja;12:00;17:00;Nee;;;0,50;Goed;Geofort;;Ja;Ja;Ja;Ja;697876da-428f-4b93-88a9-336166b89a64;136961.28455731974;430844.7797787191;5.125305289906978;51.865865486026
124;Ja;Drempelvrij;Ruim;In onderhoud;Ja;08:00;14:35;Ja;08:00;14:35;Ja;08:00;14:35;Ja;08:00;14:35;Ja;08:00;14:35;Nee;;;Nee;;;0,75;Goed;Geofort;;Ja;Ja;Ja;Ja;44760541-3f37-40c0-9cdd-c9fdbedc1cad;136919.91025582113;430850.0383829864;5.124704323742207;51.865911410934345
125;Nee;Drempel;Krap;In onderhoud;Ja;08:00;18:00;Ja;08:00;18:00;Ja;08:00;18:00;Ja;08:00;18:00;Ja;08:00;18:00;Nee;;;Nee;;;1,00;Goed;Geofort;;Nee;Ja;Ja;Nee;1c27fc8b-1c09-45cf-b322-668261ad7ed4;136941.7384244775;430872.95796007547;5.125020036493866;51.86611812451674
126;Ja;Drempelvrij;Ruim;In onderhoud;Ja;08:00;18:00;Ja;08:00;18:00;Ja;08:00;18:00;Ja;08:00;18:00;Ja;08:00;18:00;Nee;;;Nee;;;0;Voldoende;Geofort;;Ja;Ja;Ja;Ja;900e6742-4623-4c50-8015-bf577a09c9f0;136658.6667645842;430781.6765275126;5.120915101085716;51.86528842506697
127;Ja;Drempelvrij;Ruim;In onderhoud;Nee;;;Nee;;;Nee;;;Nee;;;Nee;;;Nee;;;Ja;08:00;18:00;1,00;Goed;Geofort;;Ja;Ja;Ja;Ja;834299f8-73d8-4113-bd5f-98913b8784bf;136855.1202824912;430880.89547595056;5.123762051100885;51.866186655561684
129;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;Goed;;;;;;;e65a985b-aa65-4293-8c9d-a337a89cdb6a;119558.41463068171;448484.74398055114;4.870829538084746;52.02357727399415
